#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
results/assembly/assembly.fasta	contig_4	547312	549066	+	tssF	1-1755/1755	===============	0/0	100.00	99.60	vfdb	WP_004190505	(tssF) type VI secretion system baseplate subunit TssF [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	549030	550115	+	tssG	1-1086/1086	===============	0/0	100.00	99.72	vfdb	WP_004190503	(tssG) type VI secretion system baseplate subunit TssG [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	550093	550635	+	sciN/tssJ	1-543/543	===============	0/0	100.00	100.00	vfdb	WP_004176417	(sciN/tssJ) type VI secretion system lipoprotein TssJ [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	824273	825208	-	iroE	1-936/936	===============	0/0	100.00	98.83	vfdb	WP_004190148	(iroE) siderophore esterase IroE [Sal (VF0563) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	1604839	1605462	+	rcsA	1-624/624	===============	0/0	100.00	100.00	vfdb	WP_002911561	(rcsA) transcriptional activator for ctr capsule biosynthesis [RcsAB (VF0571) - Regulation (VFC0301)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	1712718	1713883	-	ugd	1-1166/1167	===============	0/0	99.91	97.51	vfdb	WP_004175261	(ugd) UDP-glucose 6-dehydrogenase [Capsule (VF0560) - Immune modulation (VFC0258)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	1717740	1719146	-	gndA	1-1407/1407	===============	0/0	100.00	95.24	vfdb	WP_014907233	(gndA) NADP-dependent phosphogluconate dehydrogenase [Capsule (VF0560) - Immune modulation (VFC0258)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	1728306	1729739	-	KP1_RS17345	1-1434/1434	===============	0/0	100.00	85.98	vfdb	WP_041937790	(KP1_RS17345) capsule assembly Wzi family protein [Capsule (VF0560) - Immune modulation (VFC0258)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	1730700	1731328	-	KP1_RS17355	1-629/630	===============	0/0	99.84	94.59	vfdb	WP_014907219	(KP1_RS17355) phosphatase PAP2 family protein [Capsule (VF0560) - Immune modulation (VFC0258)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	1731720	1732610	-	galF	1-891/891	===============	0/0	100.00	99.10	vfdb	WP_001741945	(galF) GalU regulator GalF [Capsule (VF0560) - Immune modulation (VFC0258)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	1883335	1883985	+	rcsB	1-651/651	===============	0/0	100.00	99.69	vfdb	WP_002913007	(rcsB) transcriptional regulator RcsB [RcsAB (VF0571) - Regulation (VFC0301)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2429031	2430022	-	rpoS	2-993/993	========/======	2/2	99.80	86.91	vfdb	NP_461845	(rpoS) RNA polymerase sigma factor RpoS [RpoS (VF0112) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
results/assembly/assembly.fasta	contig_4	2600584	2601288	+	mrkH	1-705/705	===============	0/0	100.00	99.72	vfdb	WP_004152886	(mrkH) transcriptional activator [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2601306	2601878	+	mrkI	1-573/573	===============	0/0	100.00	99.13	vfdb	WP_002916079	(mrkI) LuxR family regulatory protein [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2602022	2602738	+	mrkJ	1-717/717	===============	0/0	100.00	99.72	vfdb	WP_004149658	(mrkJ) phosphodiesterase [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2602773	2603408	-	mrkF	1-636/636	===============	0/0	100.00	99.84	vfdb	WP_002916122	(mrkF) type 3 fimbrial minor pilin subunit MrkF [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2603422	2604417	-	mrkD	1-996/996	===============	0/0	100.00	99.90	vfdb	WP_004149659	(mrkD) fimbrial adhesin protein precursor MrkD [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2604408	2606894	-	mrkC	1-2487/2487	===============	0/0	100.00	99.84	vfdb	WP_000813718	(mrkC) fimbrial biogenesis outer membrane usher protein mrkC precursor [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2606906	2607607	-	mrkB	1-702/702	===============	0/0	100.00	99.86	vfdb	WP_000820818	(mrkB) fimbrial chaperone protein mrkB precursor [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2607703	2608311	-	mrkA	1-609/609	===============	0/0	100.00	99.51	vfdb	WP_000756959	(mrkA) type 3 fimbrial major pilin subunit MrkA [Type 3 fimbriae (VF0567) - Biofilm (VFC0271)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2614177	2614782	+	fimB	1-606/606	===============	0/0	100.00	99.67	vfdb	WP_015875142	(fimB) tyrosine recombinase [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2615248	2615856	+	fimE	1-609/609	===============	0/0	100.00	99.18	vfdb	WP_002916189	(fimE) tyrosine recombinase [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2616336	2616884	+	fimA	1-549/549	===============	0/0	100.00	99.64	vfdb	WP_002916190	(fimA) type 1 major fimbrial subunit precursor [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2616955	2617491	+	fimI	1-537/537	===============	0/0	100.00	99.07	vfdb	WP_004174507	(fimI) type 1 pilus biosynthesis fimbrial protein [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2617520	2618245	+	fimC	1-726/726	===============	0/0	100.00	99.86	vfdb	WP_015875145	(fimC) periplasmic chaperone [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2618327	2620939	+	fimD	1-2613/2613	===============	0/0	100.00	99.46	vfdb	WP_009308599	(fimD) outer membrane usher protein  [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2620950	2621477	+	fimF	1-528/528	===============	0/0	100.00	99.05	vfdb	WP_014906962	(fimF) type 1 fimbrial minor component [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2621505	2621990	+	fimG	1-486/486	===============	0/0	100.00	99.59	vfdb	WP_014906961	(fimG) type 1 fimbrial minor component [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2622008	2622913	+	fimH	1-906/906	===============	0/0	100.00	99.34	vfdb	WP_041937815	(fimH) type 1 fimbrial adhesin precursor [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	2622910	2624322	+	fimK	1-1413/1413	===============	0/0	100.00	99.01	vfdb	WP_014906959	(fimK) transcriptional regulator [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	4645855	4646397	+	ykgK/ecpR	1-543/543	===============	0/0	100.00	86.56	vfdb	WP_000389022	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]	
results/assembly/assembly.fasta	contig_4	4646472	4647055	+	yagZ/ecpA	1-584/588	===============	0/0	99.32	89.90	vfdb	WP_000730972	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]	
results/assembly/assembly.fasta	contig_4	4647118	4647786	+	yagY/ecpB	1-669/669	===============	0/0	100.00	86.40	vfdb	WP_000716386	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]	
results/assembly/assembly.fasta	contig_4	4647812	4650337	+	yagX/ecpC	1-2526/2526	========/======	2/2	99.96	87.65	vfdb	WP_001131063	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]	
results/assembly/assembly.fasta	contig_4	4650327	4651970	+	yagW/ecpD	1-1644/1644	===============	0/0	100.00	88.81	vfdb	WP_001265657	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]	
results/assembly/assembly.fasta	contig_4	4651939	4652649	+	yagV/ecpE	1-711/711	===============	0/0	100.00	84.39	vfdb	WP_001301550	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]	
results/assembly/assembly.fasta	contig_4	4801290	4804436	-	acrB	1-3147/3147	===============	0/0	100.00	99.84	vfdb	WP_002892069	(acrB) acriflavine resistance protein B [AcrAB (VF0568) - Antimicrobial activity/Competitive advantage (VFC0325)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	4804459	4805652	-	acrA	1-1194/1194	===============	0/0	100.00	99.41	vfdb	WP_004177236	(acrA) acriflavine resistance protein A [AcrAB (VF0568) - Antimicrobial activity/Competitive advantage (VFC0325)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	4992111	4994339	-	fepA	1-2229/2229	===============	0/0	100.00	97.98	vfdb	WP_012737617	(fepA) outer membrane receptor FepA [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	4994599	4995807	+	fes	1-1209/1209	===============	0/0	100.00	99.26	vfdb	WP_012737618	(fes) enterobactin/ferric enterobactin esterase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	4996049	4999930	+	entF	1-3882/3882	===============	0/0	100.00	99.36	vfdb	WP_012737619	(entF) enterobactin synthase subunit F [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	4999995	5000789	-	fepC	1-795/795	===============	0/0	100.00	99.37	vfdb	WP_002893737	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	5000786	5001778	-	fepG	1-993/993	===============	0/0	100.00	99.80	vfdb	WP_004147521	(fepG) iron-enterobactin transporter permease [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	5001775	5002782	-	fepD	1-1008/1008	===============	0/0	100.00	99.80	vfdb	WP_004176917	(fepD) iron-enterobactin transporter membrane protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	5002895	5004136	+	entS	1-1242/1242	===============	0/0	100.00	99.19	vfdb	WP_004147525	(entS) enterobactin exporter EntS [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	5004397	5005356	-	fepB	1-960/960	===============	0/0	100.00	99.48	vfdb	WP_012737621	(fepB) iron-enterobactin transporter periplasmic binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	5005545	5006720	+	entC	1-1176/1176	===============	0/0	100.00	99.49	vfdb	WP_014907941	(entC) isochorismate synthase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	5006730	5008337	+	entE	1-1608/1608	===============	0/0	100.00	97.76	vfdb	WP_004183353	(entE) enterobactin synthase subunit E [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	5008351	5009202	+	entB	1-852/852	===============	0/0	100.00	98.94	vfdb	WP_004210873	(entB) 23-dihydro-23-dihydroxybenzoate synthetase isochroismatase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	5009211	5009957	+	entA	1-747/747	===============	0/0	100.00	98.53	vfdb	WP_086074289	(entA) 23-dihydroxybenzoate-23-dehydrogenase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	5104873	5105309	-	fur	1-437/453	===============	0/0	96.47	84.21	vfdb	NP_459678	(fur) ferric iron uptake transcriptional regulator [Fur (VF0113) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
